,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Date,Country
0,busselton,-33.65,115.33,70.0,64,24,8.05,1607621883,AU
1,tuktoyaktuk,69.45,-133.04,-11.2,83,90,12.75,1607621883,CA
2,ushuaia,-54.8,-68.3,62.6,39,20,10.29,1607621883,AR
3,amapa,1.0,-52.0,92.57,42,28,7.02,1607621883,BR
4,rikitea,-23.12,-134.97,76.66,80,49,13.87,1607621883,PF
5,prokhorovka,51.04,36.73,21.2,67,0,13.42,1607621883,RU
6,castro,-24.79,-50.01,74.03,66,61,3.29,1607621884,BR
7,albany,42.6,-73.97,42.01,55,49,4.0,1607621849,US
8,east london,-33.02,27.91,69.8,83,20,9.17,1607621884,ZA
9,fairbanks,64.84,-147.72,1.99,84,90,1.12,1607621672,US
10,hermanus,-34.42,19.23,66.99,78,15,1.01,1607621884,ZA
11,tiksi,71.69,128.87,-23.49,86,96,6.15,1607621884,RU
12,nikolskoye,59.7,30.79,19.99,67,0,11.18,1607621885,RU
13,torbay,47.67,-52.73,37.99,86,75,4.72,1607621885,CA
14,bredasdorp,-34.53,20.04,66.2,72,40,5.82,1607621885,ZA
15,bluff,-46.6,168.33,44.01,93,100,5.01,1607621885,NZ
16,salinopolis,-0.61,-47.36,83.98,69,46,13.56,1607621885,BR
17,cherskiy,68.75,161.3,0.68,85,100,4.85,1607621886,RU
18,mar del plata,-38.0,-57.56,69.8,68,40,13.87,1607621886,AR
19,punta arenas,-53.15,-70.92,55.4,66,75,9.17,1607621886,CL
20,jamestown,42.1,-79.24,39.99,74,90,3.36,1607621809,US
21,omsukchan,62.53,155.8,1.87,90,100,0.72,1607621886,RU
22,mataura,-46.19,168.86,44.01,93,100,5.01,1607621886,NZ
23,husavik,66.04,-17.34,39.2,80,90,9.17,1607621887,IS
24,dikson,73.51,80.55,-11.38,90,53,16.15,1607621887,RU
25,richards bay,-28.78,32.04,73.24,92,55,5.32,1607621747,ZA
26,kovernino,57.13,43.81,16.43,93,45,6.26,1607621887,RU
27,georgetown,5.41,100.34,80.6,88,20,4.7,1607621829,MY
28,manadhoo,5.77,73.38,82.78,74,77,10.02,1607621887,MV
29,saint-philippe,-21.36,55.77,75.2,73,75,21.92,1607621887,RE
30,meulaboh,4.14,96.13,73.85,92,100,8.01,1607621887,ID
31,avarua,-21.21,-159.78,77.0,83,20,12.75,1607621887,CK
32,san policarpo,12.18,125.51,81.1,82,0,4.99,1607621888,PH
33,lebu,-37.62,-73.65,60.39,67,31,9.28,1607621888,CL
34,upernavik,72.79,-56.15,24.69,98,100,7.25,1607621888,GL
35,sept-iles,50.2,-66.38,30.2,80,99,2.24,1607621640,CA
36,nanortalik,60.14,-45.24,27.95,84,49,6.55,1607621888,GL
37,berlevag,70.86,29.09,33.8,81,75,10.29,1607621889,NO
38,skibbereen,51.55,-9.27,51.8,93,75,10.29,1607621889,IE
39,hilo,19.73,-155.09,69.8,88,90,9.17,1607621889,US
40,batken,39.83,71.0,16.59,82,99,5.35,1607621889,KG
41,iqaluit,63.75,-68.51,23.0,73,40,13.87,1607621889,CA
42,bubaque,11.28,-15.83,82.0,64,15,12.15,1607621889,GW
43,denpasar,-8.65,115.22,84.2,83,20,5.82,1607621889,ID
44,lompoc,34.64,-120.46,52.0,81,40,4.7,1607621668,US
45,constitucion,-35.33,-72.42,64.49,58,32,15.37,1607621708,CL
46,yellowknife,62.46,-114.35,5.0,84,75,8.05,1607621738,CA
47,puerto ayora,-0.74,-90.35,77.0,73,75,9.17,1607621890,EC
48,kampene,-3.6,26.67,69.01,98,100,1.86,1607621890,CD
49,carnarvon,-24.87,113.63,73.4,100,75,13.87,1607621890,AU
50,baykit,61.67,96.37,-27.42,79,24,1.34,1607621891,RU
51,gaomi,36.38,119.75,44.01,86,100,3.06,1607621891,CN
52,pangody,65.85,74.49,-22.02,87,3,3.83,1607621891,RU
53,vardo,70.37,31.11,33.8,86,75,14.99,1607621891,NO
54,terrace,54.52,-128.6,33.8,86,90,13.87,1607621891,CA
55,yeppoon,-23.13,150.73,71.6,68,75,5.82,1607621891,AU
56,airai,-8.93,125.41,63.64,95,90,1.05,1607621891,TL
57,roald,62.58,6.13,44.6,56,0,16.11,1607621891,NO
58,benghazi,32.12,20.07,62.76,62,6,13.38,1607621892,LY
59,cape town,-33.93,18.42,71.01,64,40,9.17,1607621892,ZA
60,san jose,37.34,-121.89,57.0,57,75,4.7,1607621880,US
61,turukhansk,65.82,87.98,-23.13,86,71,2.44,1607621893,RU
62,manzil kamil,35.62,10.67,57.2,47,0,11.41,1607621893,TN
63,itoman,26.12,127.67,71.6,88,75,10.29,1607621893,JP
64,visby,57.64,18.3,36.0,93,90,8.05,1607621893,SE
65,vaini,-21.2,-175.2,77.0,83,75,9.17,1607621893,TO
66,thayetmyo,19.32,95.18,65.26,75,0,0.98,1607621893,MM
67,launceston,-41.45,147.17,45.0,81,75,5.82,1607621893,AU
68,shingu,33.73,135.98,48.25,68,58,5.75,1607621894,JP
69,hasaki,35.73,140.83,42.8,100,40,4.7,1607621894,JP
70,goundam,16.41,-3.67,82.06,15,0,10.42,1607621894,ML
71,russell,32.35,-85.2,64.99,48,1,2.75,1607621894,US
72,tupik,54.43,119.93,-4.68,89,100,5.21,1607621894,RU
73,atambua,-9.11,124.89,76.73,80,86,1.39,1607621894,ID
74,homer,59.64,-151.55,30.99,92,90,2.59,1607621711,US
75,hibbing,47.43,-92.94,39.2,74,90,6.93,1607621894,US
76,hobyo,5.35,48.53,79.32,73,44,17.98,1607621895,SO
77,ibra,22.69,58.53,60.66,79,9,1.19,1607621895,OM
78,tasiilaq,65.61,-37.64,15.8,47,5,8.05,1607621895,GL
79,likasi,-10.98,26.73,64.92,97,100,3.6,1607621895,CD
80,severo-kurilsk,50.68,156.12,25.57,90,90,15.93,1607621895,RU
81,kapaa,22.08,-159.32,71.6,100,90,10.29,1607621895,US
82,pochutla,15.74,-96.47,84.2,51,5,11.41,1607621895,MX
83,kharitonovo,61.4,47.5,17.85,89,2,6.13,1607621895,RU
84,hobart,-42.88,147.33,48.2,66,90,9.17,1607621896,AU
85,hithadhoo,-0.6,73.08,82.15,74,62,11.21,1607621896,MV
86,bethel,41.37,-73.41,46.99,49,1,9.17,1607621896,US
87,kavieng,-2.57,150.8,79.77,86,100,11.41,1607621896,PG
88,kavaratti,10.57,72.64,82.96,78,0,15.43,1607621896,IN
89,kieta,-6.22,155.63,78.49,75,91,4.21,1607621896,PG
90,port hardy,50.7,-127.42,46.4,87,90,20.8,1607621897,CA
91,butaritari,3.07,172.79,82.02,75,62,10.67,1607621897,KI
92,xuanhua,40.61,115.04,20.17,87,3,3.96,1607621897,CN
93,saint-georges,12.06,-61.75,84.2,70,75,11.41,1607621897,GD
94,kodiak,57.79,-152.41,21.2,85,1,4.7,1607621898,US
95,port alfred,-33.59,26.89,68.52,88,98,10.92,1607621898,ZA
96,port elizabeth,-33.92,25.57,66.2,93,20,5.82,1607621898,ZA
97,keti bandar,24.14,67.45,73.69,63,1,8.61,1607621898,PK
98,sitka,57.05,-135.33,42.8,56,90,13.87,1607621898,US
99,rio grande,-32.03,-52.1,84.2,51,0,8.05,1607621898,BR
100,avera,33.19,-82.53,62.01,51,1,3.36,1607621899,US
101,buraydah,26.33,43.98,59.0,72,0,5.82,1607621733,SA
102,vikulovo,56.82,70.61,6.89,94,9,6.51,1607621899,RU
103,balkanabat,39.51,54.37,28.0,81,0,1.23,1607621899,TM
104,shinjo,38.76,140.3,43.54,90,89,1.23,1607621900,JP
105,tilik,13.81,120.2,81.23,83,15,16.67,1607621900,PH
106,norman wells,65.28,-126.83,3.2,77,90,8.05,1607621900,CA
107,khatanga,71.97,102.5,-32.21,84,91,7.87,1607621900,RU
108,magadan,59.57,150.8,7.25,89,67,4.74,1607621900,RU
109,otjimbingwe,-22.35,16.13,72.45,28,0,11.56,1607621900,NA
110,qaqortoq,60.72,-46.03,20.19,79,13,5.08,1607621900,GL
111,inhambane,-23.86,35.38,80.01,61,20,4.7,1607621901,MZ
112,salalah,17.02,54.09,78.8,19,0,11.41,1607621901,OM
113,miandrivazo,-19.52,45.47,82.63,71,53,0.65,1607621901,MG
114,ixtapa,20.7,-105.2,78.8,69,75,3.8,1607621901,MX
115,konstantinovka,49.62,127.98,4.42,91,78,8.99,1607621901,RU
116,takestan,36.07,49.7,33.8,86,15,2.24,1607621902,IR
117,progreso,21.28,-89.67,77.0,50,20,9.17,1607621766,MX
118,barrow,71.29,-156.79,-2.2,70,90,14.99,1607621902,US
119,arraial do cabo,-22.97,-42.03,77.0,83,75,8.05,1607621902,BR
120,cabedelo,-6.98,-34.83,86.0,62,40,12.75,1607621742,BR
121,tigre,-34.43,-58.58,98.01,30,0,18.34,1607621902,AR
122,atuona,-9.8,-139.03,78.64,77,0,20.33,1607621902,PF
123,torrijos,39.98,-4.28,55.99,87,40,14.99,1607621902,ES
124,ilulissat,69.22,-51.1,21.2,37,40,13.87,1607621903,GL
125,cidreira,-30.18,-50.21,73.67,71,5,11.68,1607621903,BR
126,padang,-0.95,100.35,76.44,73,93,4.41,1607621903,ID
127,nome,64.5,-165.41,-5.8,83,20,5.88,1607621903,US
128,victoria,22.29,114.16,69.01,77,94,8.99,1607621708,HK
129,monte plata,18.81,-69.78,82.4,83,75,11.41,1607621903,DO
130,tamboril,19.49,-70.61,73.4,100,90,5.82,1607621904,DO
131,melfi,41.0,15.65,42.01,93,90,13.87,1607621904,IT
132,camara de lobos,32.63,-16.97,66.2,63,20,9.17,1607621733,PT
133,groningen,53.25,6.75,37.0,96,90,4.7,1607621667,NL
134,ust-ilimsk,58.0,102.66,-16.69,87,91,3.74,1607621904,RU
135,labuhan,-6.88,112.21,80.35,84,100,11.25,1607621904,ID
136,carauari,-4.88,-66.9,91.51,51,60,4.23,1607621784,BR
137,narsaq,60.92,-46.05,16.65,71,11,5.26,1607621904,GL
138,unirea,44.15,23.18,37.4,100,90,2.24,1607621905,RO
139,mahebourg,-20.41,57.7,75.2,73,75,10.29,1607621905,MU
140,belaya gora,68.53,146.42,-35.77,83,14,3.98,1607621905,RU
141,rundu,-17.93,19.77,80.67,49,72,1.19,1607621905,NA
142,burnie,-41.07,145.92,51.01,74,8,10.0,1607621905,AU
143,saint-pierre,-21.34,55.48,75.2,73,75,21.92,1607621905,RE
144,udachnyy,66.42,112.4,-40.0,65,0,6.71,1607621905,RU
145,ulladulla,-35.35,150.47,57.2,71,90,5.82,1607621906,AU
146,lasa,46.62,10.7,33.01,85,5,3.36,1607621906,IT
147,thompson,55.74,-97.86,5.0,77,20,8.05,1607621906,CA
148,qaanaaq,77.48,-69.36,10.42,91,100,2.68,1607621906,GL
149,la ronge,55.1,-105.28,15.8,92,71,1.12,1607621906,CA
150,blenheim,-41.52,173.95,61.0,68,14,11.18,1607621906,NZ
151,bage,-31.33,-54.11,87.8,33,0,9.17,1607621906,BR
152,lagoa,39.05,-27.98,64.08,90,97,23.96,1607621907,PT
153,honiara,-9.43,159.95,75.2,94,40,5.82,1607621739,SB
154,new philadelphia,40.49,-81.45,48.0,70,1,5.82,1607621877,US
155,kandrian,-6.22,149.55,77.07,85,52,5.61,1607621907,PG
156,esperance,-33.87,121.9,62.6,82,40,11.41,1607621907,AU
157,voloshka,61.33,40.09,16.32,94,20,6.06,1607621907,RU
158,puerto baquerizo moreno,-0.9,-89.6,78.8,78,75,14.99,1607621907,EC
159,geraldton,-28.77,114.6,66.2,88,9,1.12,1607621908,AU
160,ribeira grande,38.52,-28.7,66.2,88,75,17.22,1607621908,PT
161,konstantinovskiy,57.83,39.59,6.8,84,0,2.24,1607621908,RU
162,chuy,-33.7,-53.46,84.69,41,0,8.25,1607621908,UY
163,puerto narino,-3.77,-70.38,89.6,66,75,2.24,1607621908,CO
164,jacareacanga,-6.22,-57.75,86.0,79,75,5.82,1607621908,BR
165,pringsewu,-5.36,104.97,73.94,90,97,1.66,1607621909,ID
166,artyom,40.47,50.33,39.2,64,90,7.18,1607621909,AZ
167,sistranda,63.73,8.83,41.0,60,0,18.34,1607621656,NO
168,kainantu,-6.29,145.87,59.4,95,96,1.72,1607621909,PG
169,pendleton,45.67,-118.79,35.01,92,1,6.93,1607621909,US
170,boende,-0.22,20.87,73.89,89,98,2.75,1607621909,CD
171,oranjestad,12.52,-70.03,86.0,62,40,20.8,1607621909,AW
172,biak,-0.91,122.88,78.01,81,44,1.12,1607621910,ID
173,faanui,-16.48,-151.75,79.9,75,100,14.0,1607621910,PF
174,rocha,-34.48,-54.33,91.8,34,0,9.64,1607621910,UY
175,sibiti,-3.68,13.35,71.91,96,62,1.48,1607621910,CG
176,adeje,28.12,-16.73,75.0,56,20,25.28,1607621910,ES
177,kentau,43.52,68.51,28.04,85,0,7.14,1607621910,KZ
178,ostrovnoy,68.05,39.51,29.12,96,60,22.28,1607621911,RU
179,koping,59.51,15.99,36.0,74,100,5.82,1607621904,SE
180,gazanjyk,39.24,55.52,26.04,80,0,5.17,1607621911,TM
181,ponta do sol,32.67,-17.1,66.2,63,20,9.17,1607621911,PT
182,sonoita,31.85,-112.83,59.0,63,47,13.56,1607621911,MX
183,puri,19.8,85.85,69.8,88,0,5.17,1607621911,IN
184,nelson bay,-32.72,152.15,66.99,68,90,23.04,1607621911,AU
185,hays,30.05,-98.03,71.01,55,0,5.99,1607621911,US
186,dunedin,-45.87,170.5,48.0,90,98,4.0,1607621911,NZ
187,souillac,-20.52,57.52,75.2,73,75,10.29,1607621912,MU
188,provideniya,64.38,-173.3,8.06,88,7,9.98,1607621912,RU
189,alice springs,-23.7,133.88,64.4,88,90,8.05,1607621912,AU
190,aripuana,-9.17,-60.63,75.47,87,100,1.3,1607621912,BR
191,ahipara,-35.17,173.17,61.11,87,99,6.89,1607621912,NZ
192,salingogon,13.43,123.19,76.95,89,8,2.19,1607621913,PH
193,ossora,59.24,163.07,23.81,97,100,15.95,1607621913,RU
194,gamba,-2.65,10.0,78.08,85,83,7.0,1607621913,GA
195,saskylakh,71.92,114.08,-19.01,86,100,14.32,1607621913,RU
196,erzincan,39.75,39.5,30.2,80,0,1.12,1607621913,TR
197,caracoli,6.41,-74.76,81.27,65,52,3.78,1607621913,CO
198,north ogden,41.31,-111.96,33.01,64,1,5.82,1607621631,US
199,cairns,-16.92,145.77,78.8,78,40,5.82,1607621846,AU
200,bucerias,20.75,-105.33,78.8,69,75,3.2,1607621914,MX
201,mirabad,30.44,61.84,51.96,43,44,5.35,1607621914,AF
202,kruisfontein,-34.0,24.73,66.99,90,64,5.01,1607621914,ZA
203,sarangani,5.4,125.46,84.24,76,76,14.79,1607621914,PH
204,yulara,-25.24,130.99,66.2,77,75,11.41,1607621915,AU
205,chokurdakh,70.63,147.92,-29.22,86,54,7.18,1607621915,RU
206,taoudenni,22.68,-3.98,66.88,22,21,9.51,1607621915,ML
207,san felix,-32.33,-58.13,93.99,30,0,8.01,1607621915,UY
208,port blair,11.67,92.75,78.51,67,61,4.43,1607621915,IN
209,byron bay,-28.65,153.62,68.0,82,75,5.82,1607621866,AU
210,tuatapere,-46.13,167.68,44.01,93,100,5.01,1607621915,NZ
211,champerico,14.3,-91.92,84.2,66,75,4.7,1607621915,GT
212,maltahohe,-24.83,16.98,72.05,24,29,17.38,1607621916,NA
213,molchanovo,57.58,83.77,10.92,95,100,9.69,1607621916,RU
214,nobres,-14.72,-56.33,87.06,59,92,5.95,1607621916,BR
215,manzanillo,20.34,-77.12,78.64,64,2,12.19,1607621916,CU
216,katobu,-4.94,122.53,77.86,88,100,1.92,1607621916,ID
217,rio cuarto,-33.13,-64.35,100.0,37,0,34.45,1607621759,AR
218,polyarnyy,69.2,33.45,32.0,97,75,6.71,1607621917,RU
219,hamilton,39.18,-84.53,55.0,50,75,11.41,1607621630,US
220,ambilobe,-13.2,49.05,77.27,85,93,1.88,1607621917,MG
221,joshimath,30.57,79.57,41.04,53,6,6.69,1607621917,IN
222,azare,11.68,10.19,82.53,18,83,7.87,1607621917,NG
223,skjervoy,70.03,20.97,33.8,86,40,9.17,1607621917,NO
224,coihaique,-45.58,-72.07,57.2,58,75,9.17,1607621704,CL
225,maceio,-9.67,-35.74,86.0,62,75,19.46,1607621918,BR
226,seoul,37.57,126.98,35.6,100,20,1.16,1607621709,KR
227,savonlinna,61.87,28.88,12.2,85,0,2.24,1607621918,FI
228,necochea,-38.55,-58.74,86.0,41,32,13.04,1607621918,AR
229,college,64.86,-147.8,1.99,77,90,1.05,1607621918,US
230,mareeba,-17.0,145.43,78.8,78,40,5.82,1607621918,AU
231,rock sound,24.9,-76.2,70.84,56,81,7.47,1607621919,BS
232,olafsvik,64.89,-23.71,38.62,91,100,22.15,1607621919,IS
233,wattegama,6.8,81.48,71.65,89,91,4.5,1607621919,LK
234,arkhipo-osipovka,44.37,38.52,45.79,72,0,10.09,1607621919,RU
235,maniitsoq,65.42,-52.9,21.43,87,85,5.46,1607621919,GL
236,dzaoudzi,-12.79,45.27,80.6,78,0,5.82,1607621919,YT
237,roma,43.21,-75.46,41.0,80,90,6.93,1607621882,US
238,holme,56.11,10.17,39.2,86,100,4.7,1607621920,DK
239,bar harbor,44.39,-68.2,37.99,65,17,13.0,1607621920,US
240,pevek,69.7,170.31,-0.2,88,59,7.65,1607621920,RU
241,portland,45.52,-122.68,39.99,93,75,5.82,1607621650,US
242,bida,9.08,6.02,87.22,20,65,2.82,1607621920,NG
243,tramandai,-29.98,-50.13,74.53,70,6,10.92,1607621921,BR
244,lerwick,60.15,-1.15,48.2,70,75,27.51,1607621921,GB
245,mogadishu,2.04,45.34,79.75,74,60,19.26,1607621897,SO
246,sao filipe,14.9,-24.5,75.65,70,100,12.3,1607621921,CV
247,amos,48.57,-78.12,28.4,92,90,4.7,1607621921,CA
248,blantyre,-15.79,35.01,72.54,74,100,4.88,1607621921,MW
249,bulgan,48.81,103.53,0.9,82,96,1.52,1607621922,MN
250,jiuquan,39.74,98.52,20.61,85,97,4.36,1607621922,CN
251,sechura,-5.56,-80.82,79.5,56,69,12.28,1607621922,PE
252,pitea,65.32,21.48,35.6,93,0,9.17,1607621922,SE
253,guerrero negro,27.98,-114.06,67.57,61,1,8.16,1607621922,MX
254,stawell,-37.05,142.77,44.29,89,1,17.49,1607621922,AU
255,margate,51.38,1.39,44.01,79,57,3.0,1607621922,GB
256,vrangel,42.73,133.08,32.99,82,0,10.54,1607621923,RU
257,olinda,-8.01,-34.86,84.2,58,40,10.29,1607621923,BR
258,half moon bay,37.46,-122.43,55.99,87,75,3.36,1607621923,US
259,kalmunai,7.42,81.82,76.66,82,70,7.76,1607621923,LK
260,tezu,27.92,96.17,65.12,46,74,2.59,1607621923,IN
261,kahului,20.89,-156.47,71.01,77,20,4.7,1607621624,US
262,ghanzi,-21.57,21.78,86.99,31,60,6.2,1607621924,BW
263,santo domingo,18.5,-69.99,82.4,83,75,11.41,1607621869,DO
264,leningradskiy,69.38,178.42,0.3,89,0,6.98,1607621924,RU
265,waipawa,-41.41,175.52,59.0,87,19,18.34,1607621924,NZ
266,kaitangata,-46.28,169.85,46.99,94,100,10.0,1607621925,NZ
267,woodward,36.43,-99.39,44.6,33,1,8.32,1607621925,US
268,egvekinot,66.32,-179.17,2.55,95,75,3.06,1607621925,RU
269,tilichiki,60.47,166.1,21.07,96,100,15.41,1607621926,RU
270,nikolayevka,53.13,47.2,13.03,87,0,3.56,1607621926,RU
271,fallon,39.47,-118.78,37.99,69,75,3.36,1607621926,US
272,saint-augustin,51.23,-58.65,32.88,95,99,10.38,1607621926,CA
273,shar,49.59,81.05,9.41,95,100,10.0,1607621926,KZ
274,saint george,37.1,-113.58,52.0,22,1,1.79,1607621926,US
275,aykhal,66.0,111.5,-40.0,65,0,6.71,1607621927,RU
276,ashtian,34.52,50.0,31.96,95,51,1.86,1607621927,IR
277,george,-33.96,22.46,66.2,82,20,8.05,1607621927,ZA
278,shihezi,44.3,86.03,17.82,87,100,0.94,1607621927,CN
279,bambous virieux,-20.34,57.76,75.99,73,75,10.29,1607621927,MU
280,sipe sipe,-17.45,-66.38,77.0,25,40,3.36,1607621927,BO
281,caravelas,-17.71,-39.25,83.46,64,3,14.12,1607621928,BR
282,payson,40.04,-111.73,32.0,79,1,3.74,1607621678,US
283,port pirie,-33.18,138.02,66.2,52,75,14.99,1607621928,AU
284,piove di sacco,45.3,12.04,46.99,86,73,5.66,1607621928,IT
285,skaudvile,55.42,22.62,26.83,89,93,12.91,1607621928,LT
286,farim,12.48,-15.22,96.8,28,0,1.81,1607621929,GW
287,aksaray,38.37,34.03,41.0,75,0,11.41,1607621929,TR
288,san patricio,28.02,-97.52,77.0,69,40,18.34,1607621929,US
289,adrar,20.5,-10.07,70.0,19,67,9.04,1607621929,MR
290,alofi,-19.06,-169.92,75.2,100,6,8.05,1607621929,NU
291,pemangkat,1.17,108.97,79.36,86,100,7.07,1607621930,ID
292,barra do garcas,-15.89,-52.26,78.8,78,40,4.76,1607621891,BR
293,paita,-5.09,-81.11,80.6,65,0,12.75,1607621930,PE
294,darab,28.75,54.54,53.78,45,16,3.06,1607621930,IR
295,bakchar,57.02,82.07,12.76,95,100,11.07,1607621930,RU
296,luderitz,-26.65,15.16,63.91,77,5,17.13,1607621931,NA
297,nouakchott,18.09,-15.98,82.4,9,68,11.41,1607621931,MR
298,kununurra,-15.77,128.73,78.8,100,100,4.7,1607621858,AU
299,bonthe,7.53,-12.51,82.76,73,25,7.61,1607621931,SL
300,khovu-aksy,51.13,93.6,-0.06,88,100,3.06,1607621931,RU
301,goure,13.98,10.27,87.01,16,77,1.01,1607621932,NE
302,bilibino,68.05,166.44,-6.65,80,88,3.53,1607621932,RU
303,ballina,-28.87,153.57,68.0,82,75,5.82,1607621932,AU
304,luanda,-8.84,13.23,80.6,74,75,10.29,1607621894,AO
305,naze,28.37,129.48,68.0,94,75,16.11,1607621932,JP
306,flin flon,54.77,-101.86,12.2,92,90,4.7,1607621933,CA
307,marsh harbour,26.54,-77.06,68.77,54,55,6.29,1607621720,BS
308,new norfolk,-42.78,147.06,48.2,66,90,9.17,1607621933,AU
309,talnakh,69.49,88.4,-27.4,74,0,15.66,1607621933,RU
310,bengkulu,-3.8,102.27,74.01,88,84,4.38,1607621933,ID
311,saint anthony,45.02,-93.22,46.99,56,1,11.41,1607621933,US
312,mehamn,71.04,27.85,33.8,80,20,6.93,1607621934,NO
313,asuncion,-25.3,-57.64,93.2,32,0,8.05,1607621715,PY
314,praia da vitoria,38.73,-27.07,68.0,77,40,10.22,1607621934,PT
315,aklavik,68.22,-135.01,-4.0,83,75,2.24,1607621934,CA
316,palana,59.12,159.97,16.09,98,100,5.53,1607621934,RU
317,iki-burul,45.82,44.65,19.0,67,40,13.42,1607621935,RU
318,teguldet,57.31,88.17,6.69,95,100,2.39,1607621935,RU
319,pasni,25.26,63.47,73.56,62,0,5.37,1607621935,PK
320,loreto,22.27,-101.97,68.43,36,0,9.55,1607621936,MX
321,lavrentiya,65.58,-171.0,7.2,89,0,7.34,1607621936,RU
322,lynn haven,30.25,-85.65,70.0,45,1,4.7,1607621936,US
323,siretel,47.4,26.73,34.0,100,100,2.48,1607621936,RO
324,baiyin,36.56,104.21,33.01,53,0,6.71,1607621782,CN
325,tigil,57.8,158.67,20.93,95,100,9.6,1607621937,RU
326,port-gentil,-0.72,8.78,82.4,78,20,13.87,1607621937,GA
327,asyut,27.18,31.18,69.8,37,0,9.17,1607621765,EG
328,izhma,65.01,53.91,18.59,94,14,6.73,1607621937,RU
